Protein_1	Protein_2
Rv0030	yrbE1A
Rv0030	mce1B
Rv0030	Rv0177
Rv0030	ilvD
Rv0030	Rv0190
Rv0030	Rv0192
Rv0030	Rv0203
Rv0030	echA1
Rv0030	Rv0227c
Rv0030	fadE5
Rv0030	Rv0245
Rv0030	Rv0258c
Rv0030	Rv0264c
Rv0030	Rv0309
Rv0030	Rv0313
Rv0030	rmlA
Rv0030	mmpL1
Rv0030	glnH
Rv0030	Rv0412c
Rv0030	Rv0426c
Rv0030	Rv0431
Rv0030	mmpL4
Rv0030	Rv0455c
Rv0030	Rv0464c
Rv0030	Rv0474
Rv0030	Rv0476
Rv0030	Rv0498
Rv0030	mmpL2
Rv0030	hemA
Rv0030	Rv0513
Rv0030	Rv0514
Rv0030	Rv0530
Rv0030	galE2
Rv0030	Rv0556
Rv0030	yrbE2A
Rv0030	mmpL5
Rv0030	rpsQ
Rv0030	rslA
Rv0030	Rv0759c
Rv0030	Rv0767c
Rv0030	Rv0810c
Rv0030	Rv0814c
Rv0030	phoT
Rv0030	phoY2
Rv0030	mog
Rv0030	Rv0870c
Rv0030	Rv0898c
Rv0030	echA6
Rv0030	pstB
Rv0030	csoR
Rv0030	ctpV
Rv0030	moaB2
Rv0038	Rv0076c
Rv0038	Rv0102
Rv0038	msrA
Rv0038	lprK
Rv0038	Rv0188
Rv0038	lipW
Rv0038	lipC
Rv0038	narU
Rv0038	Rv0311
Rv0038	Rv0330c
Rv0038	Rv0356c
Rv0038	Rv0366c
Rv0038	Rv0424c
Rv0038	lpdC
Rv0038	Rv0466
Rv0038	Rv0495c
Rv0038	Rv0517
Rv0038	Rv0546c
Rv0038	menD
Rv0038	Rv0565c
Rv0038	lprL
Rv0038	Rv0633c
Rv0038	Rv0762c
Rv0038	Rv0763c
Rv0038	Rv0765c
Rv0038	Rv0769
Rv0038	Rv0771
Rv0038	Rv0776c
Rv0038	purB
Rv0038	cyp126
Rv0038	Rv0779c
Rv0038	purC
Rv0038	emrB
Rv0038	Rv0785
Rv0038	Rv0786c
Rv0038	cfp29
Rv0038	Rv0801
Rv0038	purF
Rv0038	purM
Rv0038	Rv0813c
Rv0038	Rv0818
Rv0038	lpqS
Rv0038	Rv0849
Rv0038	moaD2
Rv0038	moaA2
Rv0038	Rv0879c
Rv0038	Rv0880
Rv0038	Rv0885
Rv0038	Rv0887c
Rv0038	citA
Rv0038	Rv0895
Rv0038	gltA2
Rv0038	accD3
Rv0038	Rv0910
Rv0038	pstC2
Rv0038	pstA1
Rv0038	mku
Rv0038	Rv0940c
Rv0038	Rv0954
Rv0038	rimJ
Rv0039c	Rv0078
Rv0039c	purA
Rv0039c	clpB
Rv0039c	Rv0401
Rv0039c	regX3
Rv0039c	tcrA
Rv0039c	hadB
Rv0039c	rpsL
Rv0039c	rplB
Rv0039c	rpmD
Rv0039c	Rv0730
Rv0039c	narL
Rv0039c	mscL
Rv0039c	Rv0991c
mtc28	leuS
mtc28	glyA2
mtc28	Rv0093c
mtc28	Rv0097
mtc28	fcoT
mtc28	fadD10
mtc28	Rv0187
mtc28	mycP3
mtc28	Rv0358
mtc28	metZ
mtc28	pks6
mtc28	sodC
mtc28	Rv0449c
mtc28	Rv0647c
mtc28	sppA
mtc28	pdc
mtc28	fprB
mtc28	Rv0891c
mtc28	Rv0894
mtc28	Rv0945
mtc28	pgi
mtc28	Rv0950c
mtc28	sucC
mtc28	Rv0955
mtc28	purH
mtc28	mprB
mtc28	Rv0992c
mtc28	Rv0996
mtc28	Rv1005c
leuS	glyA2
leuS	Rv0093c
leuS	Rv0097
leuS	fcoT
leuS	fadD10
leuS	Rv0187
leuS	mycP3
leuS	Rv0358
leuS	metZ
leuS	pks6
leuS	sodC
leuS	Rv0449c
leuS	Rv0647c
leuS	sppA
leuS	pdc
leuS	fprB
leuS	Rv0891c
leuS	Rv0894
leuS	Rv0945
leuS	pgi
leuS	Rv0950c
leuS	sucC
leuS	Rv0955
leuS	purH
leuS	mprB
leuS	Rv0992c
leuS	Rv0996
leuS	Rv1005c
Rv0042c	Rv0044c
Rv0042c	Rv0047c
Rv0042c	rpsF
Rv0042c	rplI
Rv0042c	Rv0081
Rv0042c	ctpA
Rv0042c	ctpB
Rv0042c	ldtA
Rv0042c	Rv0128
Rv0042c	pntAa
Rv0042c	yrbE1A
Rv0042c	mce1B
Rv0042c	Rv0177
Rv0042c	ilvD
Rv0042c	Rv0190
Rv0042c	Rv0192
Rv0042c	Rv0203
Rv0042c	echA1
Rv0042c	Rv0227c
Rv0042c	fadE5
Rv0042c	Rv0245
Rv0042c	Rv0258c
Rv0042c	Rv0264c
Rv0042c	Rv0309
Rv0042c	Rv0313
Rv0042c	rmlA
Rv0042c	mmpL1
Rv0042c	glnH
Rv0042c	Rv0412c
Rv0042c	Rv0426c
Rv0042c	Rv0431
Rv0042c	mmpL4
Rv0042c	Rv0455c
Rv0042c	Rv0464c
Rv0042c	Rv0474
Rv0042c	Rv0476
Rv0042c	Rv0498
Rv0042c	mmpL2
Rv0042c	hemA
Rv0042c	Rv0513
Rv0042c	Rv0514
Rv0042c	Rv0530
Rv0042c	galE2
Rv0042c	Rv0556
Rv0042c	yrbE2A
Rv0042c	mmpL5
Rv0042c	rpsQ
Rv0042c	rslA
Rv0042c	Rv0759c
Rv0042c	Rv0767c
Rv0042c	Rv0810c
Rv0042c	Rv0814c
Rv0042c	phoT
Rv0042c	phoY2
Rv0042c	mog
Rv0042c	Rv0870c
Rv0042c	Rv0898c
Rv0042c	echA6
Rv0042c	pstB
Rv0042c	csoR
Rv0042c	ctpV
Rv0042c	moaB2
Rv0044c	Rv0047c
Rv0044c	rpsF
Rv0044c	rplI
Rv0044c	Rv0081
Rv0044c	ctpA
Rv0044c	ctpB
Rv0044c	ldtA
Rv0044c	Rv0128
Rv0044c	pntAa
Rv0044c	yrbE1A
Rv0044c	mce1B
Rv0044c	Rv0177
Rv0044c	ilvD
Rv0044c	Rv0190
Rv0044c	Rv0192
Rv0044c	Rv0203
Rv0044c	echA1
Rv0044c	Rv0227c
Rv0044c	fadE5
Rv0044c	Rv0245
Rv0044c	Rv0258c
Rv0044c	Rv0264c
Rv0044c	Rv0309
Rv0044c	Rv0313
Rv0044c	rmlA
Rv0044c	mmpL1
Rv0044c	glnH
Rv0044c	Rv0412c
Rv0044c	Rv0426c
Rv0044c	Rv0431
Rv0044c	mmpL4
Rv0044c	Rv0455c
Rv0044c	Rv0464c
Rv0044c	Rv0474
Rv0044c	Rv0476
Rv0044c	Rv0498
Rv0044c	mmpL2
Rv0044c	hemA
Rv0044c	Rv0513
Rv0044c	Rv0514
Rv0044c	Rv0530
Rv0044c	galE2
Rv0044c	Rv0556
Rv0044c	yrbE2A
Rv0044c	mmpL5
Rv0044c	rpsQ
Rv0044c	rslA
Rv0044c	Rv0759c
Rv0044c	Rv0767c
Rv0044c	Rv0810c
Rv0044c	Rv0814c
Rv0044c	phoT
Rv0044c	phoY2
Rv0044c	mog
Rv0044c	Rv0870c
Rv0044c	Rv0898c
Rv0044c	echA6
Rv0044c	pstB
Rv0044c	csoR
Rv0044c	ctpV
Rv0044c	moaB2
ino1	Rv0048c
ino1	Rv0049
ino1	dnaB
ino1	icd2
ino1	Rv0072
ino1	Rv0083
ino1	hycP
ino1	hycE
ino1	mtn
ino1	Rv0121c
ino1	mak
ino1	Rv0133
ino1	ephF
ino1	Rv0141c
ino1	Rv0143c
ino1	Rv0145
ino1	Rv0146
ino1	Rv0147
ino1	Rv0148
ino1	ptbB
ino1	Rv0161
ino1	mce1C
