Protein_1	Protein_2
Rv0048c	Rv0385
Rv0048c	Rv0398c
Rv0048c	pta
Rv0048c	ackA
Rv0048c	mutT3
Rv0048c	Rv0420c
Rv0048c	Rv0421c
Rv0048c	thiC
Rv0048c	Rv0434
Rv0048c	Rv0435c
Rv0048c	rskA
Rv0048c	sigK
Rv0048c	Rv0448c
Rv0048c	echA2
Rv0048c	Rv0458
Rv0048c	Rv0459
Rv0048c	Rv0460
Rv0048c	Rv0461
Rv0048c	Rv0463
Rv0048c	Rv0472c
Rv0048c	hbhA
Rv0048c	Rv0477
Rv0048c	Rv0479c
Rv0048c	Rv0480c
Rv0048c	Rv0484c
Rv0048c	senX3
Rv0048c	Rv0497
Rv0048c	hemC
Rv0048c	Rv0516c
Rv0048c	Rv0525
Rv0048c	Rv0535
Rv0048c	Rv0541c
Rv0048c	fadD8
Rv0048c	mgtA
Rv0048c	grcC1
Rv0048c	htpX
Rv0048c	Rv0566c
Rv0048c	cyp135B1
Rv0048c	Rv0575c
Rv0048c	Rv0576
Rv0048c	Rv0580c
Rv0048c	lpqN
Rv0048c	mce2C
Rv0048c	mce2D
Rv0048c	Rv0600c
Rv0048c	galK
Rv0048c	echA3
Rv0048c	nusG
Rv0048c	Rv0658c
Rv0048c	rpoB
Rv0048c	Rv0669c
Rv0048c	lpqP
Rv0048c	echA4
Rv0048c	Rv0686
Rv0048c	Rv0695
Rv0048c	Rv0697
Rv0048c	atsA
Rv0048c	Rv0712
Rv0048c	Rv0713
Rv0048c	Rv0725c
Rv0048c	Rv0726c
Rv0048c	fucA
Rv0048c	Rv0731c
Rv0048c	Rv0738
Rv0048c	mmsB
Rv0048c	Rv0756c
Rv0048c	Rv0791c
Rv0048c	Rv0825c
Rv0048c	kmtR
Rv0048c	Rv0830
Rv0048c	moaE2
Rv0048c	Rv0877
Rv0048c	Rv0893c
Rv0048c	Rv0909
Rv0048c	Rv0958
Rv0048c	Rv0965c
Rv0048c	accA2
Rv0048c	grcC2
Rv0049	dnaB
Rv0049	icd2
Rv0049	Rv0072
Rv0049	Rv0083
Rv0049	hycP
Rv0049	hycE
Rv0049	mtn
Rv0049	Rv0121c
Rv0049	mak
Rv0049	Rv0133
Rv0049	ephF
Rv0049	Rv0141c
Rv0049	Rv0143c
Rv0049	Rv0145
Rv0049	Rv0146
Rv0049	Rv0147
Rv0049	Rv0148
Rv0049	ptbB
Rv0049	Rv0161
Rv0049	mce1C
Rv0049	mce1D
Rv0049	Rv0176
Rv0049	Rv0183
Rv0049	Rv0184
Rv0049	Rv0185
Rv0049	zmp1
Rv0049	Rv0199
Rv0049	Rv0200
Rv0049	Rv0201c
Rv0049	mmpL11
Rv0049	Rv0204c
Rv0049	mmpL3
Rv0049	Rv0207c
Rv0049	Rv0216
Rv0049	Rv0219
Rv0049	Rv0221
Rv0049	Rv0223c
Rv0049	Rv0224c
Rv0049	Rv0225
Rv0049	php
Rv0049	Rv0232
Rv0049	fabG4
Rv0049	Rv0247c
Rv0049	Rv0248c
Rv0049	nirD
Rv0049	aac
Rv0049	Rv0263c
Rv0049	fadD2
Rv0049	fadE6
Rv0049	Rv0273c
Rv0049	Rv0276
Rv0049	Rv0281
Rv0049	eccA3
Rv0049	eccC3
Rv0049	esxG
Rv0049	eccD3
Rv0049	Rv0293c
Rv0049	tam
Rv0049	Rv0308
Rv0049	Rv0310c
Rv0049	Rv0314c
Rv0049	cyp135A1
Rv0049	Rv0333
Rv0049	Rv0340
Rv0049	Rv0369c
Rv0049	Rv0371c
Rv0049	Rv0373c
Rv0049	Rv0377
Rv0049	Rv0380c
Rv0049	Rv0385
Rv0049	Rv0398c
Rv0049	pta
Rv0049	ackA
Rv0049	mutT3
Rv0049	Rv0420c
Rv0049	Rv0421c
Rv0049	thiC
Rv0049	Rv0434
Rv0049	Rv0435c
Rv0049	rskA
Rv0049	sigK
Rv0049	Rv0448c
Rv0049	echA2
Rv0049	Rv0458
Rv0049	Rv0459
Rv0049	Rv0460
Rv0049	Rv0461
Rv0049	Rv0463
Rv0049	Rv0472c
Rv0049	hbhA
Rv0049	Rv0477
Rv0049	Rv0479c
Rv0049	Rv0480c
Rv0049	Rv0484c
Rv0049	senX3
Rv0049	Rv0497
Rv0049	hemC
Rv0049	Rv0516c
Rv0049	Rv0525
Rv0049	Rv0535
Rv0049	Rv0541c
Rv0049	fadD8
Rv0049	mgtA
Rv0049	grcC1
Rv0049	htpX
Rv0049	Rv0566c
Rv0049	cyp135B1
Rv0049	Rv0575c
Rv0049	Rv0576
Rv0049	Rv0580c
Rv0049	lpqN
Rv0049	mce2C
Rv0049	mce2D
Rv0049	Rv0600c
Rv0049	galK
Rv0049	echA3
Rv0049	nusG
Rv0049	Rv0658c
Rv0049	rpoB
Rv0049	Rv0669c
Rv0049	lpqP
Rv0049	echA4
Rv0049	Rv0686
Rv0049	Rv0695
Rv0049	Rv0697
Rv0049	atsA
Rv0049	Rv0712
Rv0049	Rv0713
Rv0049	Rv0725c
Rv0049	Rv0726c
Rv0049	fucA
Rv0049	Rv0731c
Rv0049	Rv0738
Rv0049	mmsB
Rv0049	Rv0756c
Rv0049	Rv0791c
Rv0049	Rv0825c
Rv0049	kmtR
Rv0049	Rv0830
Rv0049	moaE2
Rv0049	Rv0877
Rv0049	Rv0893c
Rv0049	Rv0909
Rv0049	Rv0958
Rv0049	Rv0965c
Rv0049	accA2
Rv0049	grcC2
rpsF	rplI
rpsF	Rv0081
rpsF	ctpA
rpsF	ctpB
rpsF	ldtA
rpsF	Rv0128
rpsF	pntAa
rpsF	yrbE1A
rpsF	mce1B
rpsF	Rv0177
rpsF	ilvD
rpsF	Rv0190
rpsF	Rv0192
rpsF	Rv0203
rpsF	echA1
rpsF	Rv0227c
rpsF	fadE5
rpsF	Rv0245
rpsF	Rv0258c
rpsF	Rv0264c
rpsF	Rv0309
rpsF	Rv0313
rpsF	rmlA
rpsF	mmpL1
rpsF	glnH
rpsF	Rv0412c
rpsF	Rv0426c
rpsF	Rv0431
rpsF	mmpL4
rpsF	Rv0455c
rpsF	Rv0464c
rpsF	Rv0474
rpsF	Rv0476
rpsF	Rv0498
rpsF	mmpL2
rpsF	hemA
rpsF	Rv0513
rpsF	Rv0514
rpsF	Rv0530
rpsF	galE2
rpsF	Rv0556
rpsF	yrbE2A
rpsF	mmpL5
rpsF	rpsQ
rpsF	rslA
rpsF	Rv0759c
rpsF	Rv0767c
rpsF	Rv0810c
rpsF	Rv0814c
rpsF	phoT
rpsF	phoY2
rpsF	mog
rpsF	Rv0870c
rpsF	Rv0898c
rpsF	echA6
rpsF	pstB
rpsF	csoR
rpsF	ctpV
rpsF	moaB2
rplI	Rv0081
rplI	ctpA
rplI	ctpB
rplI	ldtA
rplI	Rv0128
rplI	pntAa
rplI	yrbE1A
rplI	mce1B
rplI	Rv0177
rplI	ilvD
rplI	Rv0190
rplI	Rv0192
rplI	Rv0203
rplI	echA1
rplI	Rv0227c
rplI	fadE5
rplI	Rv0245
rplI	Rv0258c
rplI	Rv0264c
rplI	Rv0309
rplI	Rv0313
rplI	rmlA
rplI	mmpL1
rplI	glnH
rplI	Rv0412c
rplI	Rv0426c
rplI	Rv0431
rplI	mmpL4
rplI	Rv0455c
rplI	Rv0464c
rplI	Rv0474
rplI	Rv0476
rplI	Rv0498
rplI	mmpL2
rplI	hemA
rplI	Rv0513
rplI	Rv0514
rplI	Rv0530
rplI	galE2
rplI	Rv0556
rplI	yrbE2A
rplI	mmpL5
rplI	rpsQ
rplI	rslA
rplI	Rv0759c
rplI	Rv0767c
rplI	Rv0810c
rplI	Rv0814c
rplI	phoT
rplI	phoY2
rplI	mog
rplI	Rv0870c
rplI	Rv0898c
rplI	echA6
rplI	pstB
rplI	csoR
rplI	ctpV
rplI	moaB2
dnaB	icd2
dnaB	Rv0072
dnaB	Rv0083
dnaB	hycP
dnaB	hycE
dnaB	mtn
dnaB	Rv0121c
dnaB	mak
dnaB	Rv0133
dnaB	ephF
dnaB	Rv0141c
dnaB	Rv0143c
dnaB	Rv0145
dnaB	Rv0146
dnaB	Rv0147
dnaB	Rv0148
dnaB	ptbB
dnaB	Rv0161
dnaB	mce1C
dnaB	mce1D
dnaB	Rv0176
dnaB	Rv0183
dnaB	Rv0184
dnaB	Rv0185
dnaB	zmp1
dnaB	Rv0199
dnaB	Rv0200
dnaB	Rv0201c
dnaB	mmpL11
dnaB	Rv0204c
dnaB	mmpL3
dnaB	Rv0207c
dnaB	Rv0216
dnaB	Rv0219
dnaB	Rv0221
dnaB	Rv0223c
dnaB	Rv0224c
dnaB	Rv0225
dnaB	php
dnaB	Rv0232
dnaB	fabG4
dnaB	Rv0247c
dnaB	Rv0248c
dnaB	nirD
dnaB	aac
dnaB	Rv0263c
dnaB	fadD2
dnaB	fadE6
dnaB	Rv0273c
dnaB	Rv0276
dnaB	Rv0281
dnaB	eccA3
dnaB	eccC3
dnaB	esxG
dnaB	eccD3
dnaB	Rv0293c
dnaB	tam
dnaB	Rv0308
dnaB	Rv0310c
dnaB	Rv0314c
dnaB	cyp135A1
dnaB	Rv0333
dnaB	Rv0340
dnaB	Rv0369c
dnaB	Rv0371c
dnaB	Rv0373c
dnaB	Rv0377
dnaB	Rv0380c
dnaB	Rv0385
dnaB	Rv0398c
dnaB	pta
dnaB	ackA
dnaB	mutT3
dnaB	Rv0420c
dnaB	Rv0421c
dnaB	thiC
dnaB	Rv0434
dnaB	Rv0435c
dnaB	rskA
dnaB	sigK
dnaB	Rv0448c
dnaB	echA2
dnaB	Rv0458
dnaB	Rv0459
dnaB	Rv0460
dnaB	Rv0461
dnaB	Rv0463
dnaB	Rv0472c
dnaB	hbhA
dnaB	Rv0477
dnaB	Rv0479c
dnaB	Rv0480c
dnaB	Rv0484c
dnaB	senX3
dnaB	Rv0497
dnaB	hemC
dnaB	Rv0516c
dnaB	Rv0525
dnaB	Rv0535
dnaB	Rv0541c
dnaB	fadD8
dnaB	mgtA
dnaB	grcC1
dnaB	htpX
dnaB	Rv0566c
dnaB	cyp135B1
dnaB	Rv0575c
dnaB	Rv0576
dnaB	Rv0580c
dnaB	lpqN
dnaB	mce2C
dnaB	mce2D
dnaB	Rv0600c
dnaB	galK
dnaB	echA3
dnaB	nusG
dnaB	Rv0658c
dnaB	rpoB
dnaB	Rv0669c
dnaB	lpqP
dnaB	echA4
dnaB	Rv0686
dnaB	Rv0695
dnaB	Rv0697
dnaB	atsA
dnaB	Rv0712
dnaB	Rv0713
dnaB	Rv0725c
dnaB	Rv0726c
dnaB	fucA
dnaB	Rv0731c
dnaB	Rv0738
dnaB	mmsB
dnaB	Rv0756c
dnaB	Rv0791c
dnaB	Rv0825c
dnaB	kmtR
dnaB	Rv0830
dnaB	moaE2
dnaB	Rv0877
dnaB	Rv0893c
dnaB	Rv0909
dnaB	Rv0958
dnaB	Rv0965c
dnaB	accA2
dnaB	grcC2
Rv0064	sdaA
Rv0064	htdX
Rv0064	Rv0364
Rv0064	fadD30
Rv0064	pknG
Rv0064	thiE
Rv0064	thiO
Rv0064	thiG
Rv0064	thiD
Rv0064	def
Rv0064	psd
Rv0064	Rv0504c
Rv0064	rpoC
Rv0064	end
Rv0064	Rv0696
Rv0064	rplD
Rv0064	rplV
Rv0064	Rv0948c
Rv0064	Rv0968
icd2	Rv0072
icd2	Rv0083
icd2	hycP
icd2	hycE
icd2	mtn
icd2	Rv0121c
icd2	mak
icd2	Rv0133
icd2	ephF
icd2	Rv0141c
icd2	Rv0143c
icd2	Rv0145
icd2	Rv0146
icd2	Rv0147
icd2	Rv0148
icd2	ptbB
icd2	Rv0161
icd2	mce1C
icd2	mce1D
icd2	Rv0176
icd2	Rv0183
icd2	Rv0184
icd2	Rv0185
icd2	zmp1
icd2	Rv0199
icd2	Rv0200
icd2	Rv0201c
icd2	mmpL11
icd2	Rv0204c
icd2	mmpL3
icd2	Rv0207c
icd2	Rv0216
icd2	Rv0219
icd2	Rv0221
icd2	Rv0223c
icd2	Rv0224c
icd2	Rv0225
icd2	php
icd2	Rv0232
icd2	fabG4
icd2	Rv0247c
icd2	Rv0248c
icd2	nirD
icd2	aac
icd2	Rv0263c
icd2	fadD2
icd2	fadE6
icd2	Rv0273c
icd2	Rv0276
icd2	Rv0281
icd2	eccA3
icd2	eccC3
icd2	esxG
icd2	eccD3
icd2	Rv0293c
icd2	tam
icd2	Rv0308
icd2	Rv0310c
icd2	Rv0314c
icd2	cyp135A1
icd2	Rv0333
icd2	Rv0340
icd2	Rv0369c
icd2	Rv0371c
icd2	Rv0373c
icd2	Rv0377
icd2	Rv0380c
icd2	Rv0385
icd2	Rv0398c
icd2	pta
icd2	ackA
icd2	mutT3
icd2	Rv0420c
icd2	Rv0421c
icd2	thiC
icd2	Rv0434
icd2	Rv0435c
icd2	rskA
icd2	sigK
icd2	Rv0448c
icd2	echA2
icd2	Rv0458
icd2	Rv0459
icd2	Rv0460
icd2	Rv0461
icd2	Rv0463
icd2	Rv0472c
icd2	hbhA
icd2	Rv0477
icd2	Rv0479c
icd2	Rv0480c
icd2	Rv0484c
icd2	senX3
icd2	Rv0497
icd2	hemC
icd2	Rv0516c
icd2	Rv0525
icd2	Rv0535
icd2	Rv0541c
icd2	fadD8
icd2	mgtA
icd2	grcC1
icd2	htpX
icd2	Rv0566c
icd2	cyp135B1
icd2	Rv0575c
icd2	Rv0576
icd2	Rv0580c
icd2	lpqN
icd2	mce2C
icd2	mce2D
icd2	Rv0600c
icd2	galK
icd2	echA3
icd2	nusG
icd2	Rv0658c
icd2	rpoB
icd2	Rv0669c
icd2	lpqP
icd2	echA4
icd2	Rv0686
icd2	Rv0695
icd2	Rv0697
icd2	atsA
icd2	Rv0712
icd2	Rv0713
icd2	Rv0725c
icd2	Rv0726c
icd2	fucA
icd2	Rv0731c
icd2	Rv0738
icd2	mmsB
icd2	Rv0756c
icd2	Rv0791c
icd2	Rv0825c
icd2	kmtR
icd2	Rv0830
icd2	moaE2
icd2	Rv0877
icd2	Rv0893c
icd2	Rv0909
icd2	Rv0958
icd2	Rv0965c
icd2	accA2
icd2	grcC2
Rv0067c	oxyS
Rv0067c	hsp
Rv0067c	Rv0307c
Rv0067c	Rv0315
Rv0067c	Rv0390
Rv0067c	Rv0441c
Rv0067c	Rv0687
Rv0067c	Rv0692
Rv0067c	Rv0859
Rv0068	Rv0360c
Rv0068	Rv0406c
Rv0068	Rv0439c
Rv0068	Rv0634c
Rv0068	rpfA
sdaA	htdX
sdaA	Rv0364
sdaA	fadD30
sdaA	pknG
sdaA	thiE
sdaA	thiO
sdaA	thiG
sdaA	thiD
sdaA	def
sdaA	psd
sdaA	Rv0504c
sdaA	rpoC
sdaA	end
sdaA	Rv0696
sdaA	rplD
sdaA	rplV
sdaA	Rv0948c
sdaA	Rv0968
glyA2	Rv0093c
glyA2	Rv0097
glyA2	fcoT
glyA2	fadD10
glyA2	Rv0187
glyA2	mycP3
glyA2	Rv0358
glyA2	metZ
glyA2	pks6
glyA2	sodC
glyA2	Rv0449c
glyA2	Rv0647c
glyA2	sppA
glyA2	pdc
glyA2	fprB
glyA2	Rv0891c
glyA2	Rv0894
glyA2	Rv0945
glyA2	pgi
glyA2	Rv0950c
glyA2	sucC
glyA2	Rv0955
glyA2	purH
glyA2	mprB
glyA2	Rv0992c
glyA2	Rv0996
glyA2	Rv1005c
Rv0072	Rv0083
Rv0072	hycP
Rv0072	hycE
Rv0072	mtn
Rv0072	Rv0121c
Rv0072	mak
Rv0072	Rv0133
Rv0072	ephF
Rv0072	Rv0141c
Rv0072	Rv0143c
Rv0072	Rv0145
Rv0072	Rv0146
Rv0072	Rv0147
Rv0072	Rv0148
Rv0072	ptbB
Rv0072	Rv0161
Rv0072	mce1C
Rv0072	mce1D
Rv0072	Rv0176
Rv0072	Rv0183
Rv0072	Rv0184
Rv0072	Rv0185
Rv0072	zmp1
Rv0072	Rv0199
Rv0072	Rv0200
Rv0072	Rv0201c
Rv0072	mmpL11
Rv0072	Rv0204c
Rv0072	mmpL3
Rv0072	Rv0207c
Rv0072	Rv0216
Rv0072	Rv0219
Rv0072	Rv0221
Rv0072	Rv0223c
Rv0072	Rv0224c
Rv0072	Rv0225
Rv0072	php
Rv0072	Rv0232
Rv0072	fabG4
Rv0072	Rv0247c
Rv0072	Rv0248c
Rv0072	nirD
Rv0072	aac
Rv0072	Rv0263c
Rv0072	fadD2
Rv0072	fadE6
Rv0072	Rv0273c
Rv0072	Rv0276
Rv0072	Rv0281
Rv0072	eccA3
Rv0072	eccC3
Rv0072	esxG
Rv0072	eccD3
Rv0072	Rv0293c
Rv0072	tam
Rv0072	Rv0308
Rv0072	Rv0310c
Rv0072	Rv0314c
Rv0072	cyp135A1
Rv0072	Rv0333
Rv0072	Rv0340
Rv0072	Rv0369c
Rv0072	Rv0371c
Rv0072	Rv0373c
Rv0072	Rv0377
Rv0072	Rv0380c
Rv0072	Rv0385
Rv0072	Rv0398c
Rv0072	pta
Rv0072	ackA
Rv0072	mutT3
Rv0072	Rv0420c
Rv0072	Rv0421c
Rv0072	thiC
Rv0072	Rv0434
Rv0072	Rv0435c
Rv0072	rskA
Rv0072	sigK
Rv0072	Rv0448c
Rv0072	echA2
Rv0072	Rv0458
Rv0072	Rv0459
Rv0072	Rv0460
Rv0072	Rv0461
Rv0072	Rv0463
Rv0072	Rv0472c
Rv0072	hbhA
Rv0072	Rv0477
Rv0072	Rv0479c
Rv0072	Rv0480c
Rv0072	Rv0484c
Rv0072	senX3
Rv0072	Rv0497
Rv0072	hemC
Rv0072	Rv0516c
Rv0072	Rv0525
Rv0072	Rv0535
Rv0072	Rv0541c
Rv0072	fadD8
Rv0072	mgtA
Rv0072	grcC1
Rv0072	htpX
Rv0072	Rv0566c
Rv0072	cyp135B1
Rv0072	Rv0575c
Rv0072	Rv0576
Rv0072	Rv0580c
Rv0072	lpqN
Rv0072	mce2C
Rv0072	mce2D
Rv0072	Rv0600c
Rv0072	galK
Rv0072	echA3
Rv0072	nusG
Rv0072	Rv0658c
Rv0072	rpoB
Rv0072	Rv0669c
Rv0072	lpqP
Rv0072	echA4
Rv0072	Rv0686
Rv0072	Rv0695
Rv0072	Rv0697
Rv0072	atsA
Rv0072	Rv0712
Rv0072	Rv0713
Rv0072	Rv0725c
Rv0072	Rv0726c
Rv0072	fucA
Rv0072	Rv0731c
Rv0072	Rv0738
Rv0072	mmsB
Rv0072	Rv0756c
Rv0072	Rv0791c
Rv0072	Rv0825c
Rv0072	kmtR
Rv0072	Rv0830
Rv0072	moaE2
Rv0072	Rv0877
Rv0072	Rv0893c
Rv0072	Rv0909
Rv0072	Rv0958
Rv0072	Rv0965c
Rv0072	accA2
Rv0072	grcC2
Rv0073	htdZ
Rv0073	pntAb
Rv0073	pntB
Rv0073	Rv0205
Rv0073	Rv0249c
Rv0073	Rv0260c
Rv0073	eccE3
Rv0073	aspC
Rv0073	lpqJ
Rv0073	Rv0428c
Rv0073	Rv0443
Rv0073	Rv0465c
Rv0073	fadB2
Rv0073	Rv0494
Rv0073	Rv0508
Rv0073	cysG
Rv0073	Rv0531
Rv0073	Rv0547c
Rv0073	menB
Rv0073	bpoC
Rv0073	gpdA1
Rv0073	Rv0679c
Rv0073	sigL
Rv0073	Rv0737
Rv0073	mmsA
Rv0073	Rv0775
Rv0073	Rv0926c
Rv0076c	Rv0102
Rv0076c	msrA
Rv0076c	lprK
Rv0076c	Rv0188
Rv0076c	lipW
Rv0076c	lipC
Rv0076c	narU
Rv0076c	Rv0311
Rv0076c	Rv0330c
Rv0076c	Rv0356c
Rv0076c	Rv0366c
Rv0076c	Rv0424c
Rv0076c	lpdC
Rv0076c	Rv0466
Rv0076c	Rv0495c
Rv0076c	Rv0517
Rv0076c	Rv0546c
Rv0076c	menD
Rv0076c	Rv0565c
Rv0076c	lprL
Rv0076c	Rv0633c
Rv0076c	Rv0762c
Rv0076c	Rv0763c
Rv0076c	Rv0765c
Rv0076c	Rv0769
Rv0076c	Rv0771
Rv0076c	Rv0776c
Rv0076c	purB
Rv0076c	cyp126
Rv0076c	Rv0779c
Rv0076c	purC
Rv0076c	emrB
Rv0076c	Rv0785
Rv0076c	Rv0786c
Rv0076c	cfp29
Rv0076c	Rv0801
Rv0076c	purF
Rv0076c	purM
Rv0076c	Rv0813c
Rv0076c	Rv0818
Rv0076c	lpqS
Rv0076c	Rv0849
Rv0076c	moaD2
Rv0076c	moaA2
Rv0076c	Rv0879c
Rv0076c	Rv0880
Rv0076c	Rv0885
Rv0076c	Rv0887c
Rv0076c	citA
Rv0076c	Rv0895
Rv0076c	gltA2
Rv0076c	accD3
Rv0076c	Rv0910
Rv0076c	pstC2
Rv0076c	pstA1
Rv0076c	mku
Rv0076c	Rv0940c
Rv0076c	Rv0954
Rv0076c	rimJ
Rv0078	purA
Rv0078	clpB
Rv0078	Rv0401
Rv0078	regX3
Rv0078	tcrA
Rv0078	hadB
Rv0078	rpsL
Rv0078	rplB
Rv0078	rpmD
Rv0078	Rv0730
Rv0078	narL
Rv0078	mscL
Rv0078	Rv0991c
Rv0081	ctpA
Rv0081	ctpB
Rv0081	ldtA
Rv0081	Rv0128
Rv0081	pntAa
Rv0081	yrbE1A
Rv0081	mce1B
Rv0081	Rv0177
Rv0081	ilvD
Rv0081	Rv0190
Rv0081	Rv0192
Rv0081	Rv0203
Rv0081	echA1
Rv0081	Rv0227c
Rv0081	fadE5
Rv0081	Rv0245
Rv0081	Rv0258c
Rv0081	Rv0264c
Rv0081	Rv0309
Rv0081	Rv0313
Rv0081	rmlA
Rv0081	mmpL1
Rv0081	glnH
Rv0081	Rv0412c
Rv0081	Rv0426c
Rv0081	Rv0431
Rv0081	mmpL4
Rv0081	Rv0455c
Rv0081	Rv0464c
Rv0081	Rv0474
Rv0081	Rv0476
Rv0081	Rv0498
Rv0081	mmpL2
Rv0081	hemA
Rv0081	Rv0513
Rv0081	Rv0514
Rv0081	Rv0530
Rv0081	galE2
Rv0081	Rv0556
Rv0081	yrbE2A
Rv0081	mmpL5
Rv0081	rpsQ
Rv0081	rslA
Rv0081	Rv0759c
Rv0081	Rv0767c
Rv0081	Rv0810c
Rv0081	Rv0814c
Rv0081	phoT
Rv0081	phoY2
Rv0081	mog
Rv0081	Rv0870c
Rv0081	Rv0898c
Rv0081	echA6
Rv0081	pstB
Rv0081	csoR
Rv0081	ctpV
Rv0081	moaB2
Rv0083	hycP
Rv0083	hycE
Rv0083	mtn
Rv0083	Rv0121c
Rv0083	mak
Rv0083	Rv0133
Rv0083	ephF
Rv0083	Rv0141c
Rv0083	Rv0143c
Rv0083	Rv0145
Rv0083	Rv0146
Rv0083	Rv0147
Rv0083	Rv0148
Rv0083	ptbB
Rv0083	Rv0161
Rv0083	mce1C
Rv0083	mce1D
Rv0083	Rv0176
Rv0083	Rv0183
Rv0083	Rv0184
Rv0083	Rv0185
Rv0083	zmp1
Rv0083	Rv0199
Rv0083	Rv0200
Rv0083	Rv0201c
Rv0083	mmpL11
Rv0083	Rv0204c
Rv0083	mmpL3
Rv0083	Rv0207c
Rv0083	Rv0216
Rv0083	Rv0219
Rv0083	Rv0221
Rv0083	Rv0223c
Rv0083	Rv0224c
Rv0083	Rv0225
Rv0083	php
Rv0083	Rv0232
Rv0083	fabG4
Rv0083	Rv0247c
Rv0083	Rv0248c
Rv0083	nirD
Rv0083	aac
Rv0083	Rv0263c
Rv0083	fadD2
Rv0083	fadE6
Rv0083	Rv0273c
Rv0083	Rv0276
Rv0083	Rv0281
Rv0083	eccA3
Rv0083	eccC3
Rv0083	esxG
Rv0083	eccD3
Rv0083	Rv0293c
Rv0083	tam
Rv0083	Rv0308
Rv0083	Rv0310c
Rv0083	Rv0314c
Rv0083	cyp135A1
Rv0083	Rv0333
Rv0083	Rv0340
Rv0083	Rv0369c
Rv0083	Rv0371c
Rv0083	Rv0373c
Rv0083	Rv0377
Rv0083	Rv0380c
Rv0083	Rv0385
Rv0083	Rv0398c
Rv0083	pta
Rv0083	ackA
Rv0083	mutT3
Rv0083	Rv0420c
Rv0083	Rv0421c
Rv0083	thiC
Rv0083	Rv0434
Rv0083	Rv0435c
Rv0083	rskA
Rv0083	sigK
Rv0083	Rv0448c
Rv0083	echA2
Rv0083	Rv0458
Rv0083	Rv0459
Rv0083	Rv0460
Rv0083	Rv0461
Rv0083	Rv0463
Rv0083	Rv0472c
Rv0083	hbhA
Rv0083	Rv0477
Rv0083	Rv0479c
Rv0083	Rv0480c
Rv0083	Rv0484c
Rv0083	senX3
Rv0083	Rv0497
Rv0083	hemC
Rv0083	Rv0516c
Rv0083	Rv0525
Rv0083	Rv0535
Rv0083	Rv0541c
Rv0083	fadD8
Rv0083	mgtA
Rv0083	grcC1
Rv0083	htpX
Rv0083	Rv0566c
Rv0083	cyp135B1
Rv0083	Rv0575c
Rv0083	Rv0576
Rv0083	Rv0580c
Rv0083	lpqN
Rv0083	mce2C
Rv0083	mce2D
Rv0083	Rv0600c
Rv0083	galK
Rv0083	echA3
Rv0083	nusG
Rv0083	Rv0658c
Rv0083	rpoB
Rv0083	Rv0669c
Rv0083	lpqP
Rv0083	echA4
Rv0083	Rv0686
Rv0083	Rv0695
Rv0083	Rv0697
Rv0083	atsA
Rv0083	Rv0712
Rv0083	Rv0713
Rv0083	Rv0725c
Rv0083	Rv0726c
Rv0083	fucA
Rv0083	Rv0731c
Rv0083	Rv0738
Rv0083	mmsB
Rv0083	Rv0756c
Rv0083	Rv0791c
Rv0083	Rv0825c
Rv0083	kmtR
Rv0083	Rv0830
Rv0083	moaE2
Rv0083	Rv0877
Rv0083	Rv0893c
Rv0083	Rv0909
Rv0083	Rv0958
Rv0083	Rv0965c
Rv0083	accA2
Rv0083	grcC2
hycP	hycE
hycP	mtn
hycP	Rv0121c
hycP	mak
hycP	Rv0133
hycP	ephF
hycP	Rv0141c
hycP	Rv0143c
hycP	Rv0145
hycP	Rv0146
hycP	Rv0147
hycP	Rv0148
hycP	ptbB
hycP	Rv0161
hycP	mce1C
hycP	mce1D
hycP	Rv0176
hycP	Rv0183
hycP	Rv0184
hycP	Rv0185
hycP	zmp1
hycP	Rv0199
hycP	Rv0200
hycP	Rv0201c
hycP	mmpL11
hycP	Rv0204c
hycP	mmpL3
hycP	Rv0207c
hycP	Rv0216
hycP	Rv0219
hycP	Rv0221
hycP	Rv0223c
hycP	Rv0224c
hycP	Rv0225
hycP	php
hycP	Rv0232
hycP	fabG4
hycP	Rv0247c
hycP	Rv0248c
hycP	nirD
hycP	aac
hycP	Rv0263c
hycP	fadD2
hycP	fadE6
hycP	Rv0273c
hycP	Rv0276
hycP	Rv0281
hycP	eccA3
hycP	eccC3
hycP	esxG
hycP	eccD3
hycP	Rv0293c
hycP	tam
hycP	Rv0308
hycP	Rv0310c
hycP	Rv0314c
hycP	cyp135A1
hycP	Rv0333
hycP	Rv0340
hycP	Rv0369c
hycP	Rv0371c
hycP	Rv0373c
hycP	Rv0377
hycP	Rv0380c
hycP	Rv0385
hycP	Rv0398c
hycP	pta
hycP	ackA
hycP	mutT3
hycP	Rv0420c
hycP	Rv0421c
hycP	thiC
hycP	Rv0434
hycP	Rv0435c
hycP	rskA
hycP	sigK
hycP	Rv0448c
hycP	echA2
hycP	Rv0458
hycP	Rv0459
hycP	Rv0460
hycP	Rv0461
hycP	Rv0463
hycP	Rv0472c
hycP	hbhA
hycP	Rv0477
hycP	Rv0479c
hycP	Rv0480c
hycP	Rv0484c
hycP	senX3
hycP	Rv0497
hycP	hemC
hycP	Rv0516c
hycP	Rv0525
hycP	Rv0535
hycP	Rv0541c
hycP	fadD8
hycP	mgtA
hycP	grcC1
hycP	htpX
hycP	Rv0566c
hycP	cyp135B1
hycP	Rv0575c
hycP	Rv0576
hycP	Rv0580c
hycP	lpqN
